ID	Title	Abstract
1	Leaf rust resistance genes in Aegilops genus: occurrence and efficiency	Leaf rust is a common and costly wheat disease. The introduction of resistance genes derived from wheat wild relatives is one way to improve disease control. However, due to the rapid development of virulence in the casual pathogen Puccinia triticina, the long-term effectiveness of some leaf rust resistance (Lr) genes is questionable. To assess this, we examined 130 accessions of 13 wheat wild relative species from the Aegilops genus. The presence of 9 Lr genes was determined by PCR using primers complementary to Lr gene markers. The studied individuals were exposed to artificial inoculation with P. triticina under greenhouse and field conditions, respectively. Based on infection rate, the degree of resistance for each individual was estimated. The relationship between the presence of Lr genes and the degree of manifested resistance was assessed using canonical correlation analysis (CCA) and analysis of variance (ANOVA). Our results indicate the effective participation of Lr9 in seedling resistance while Lr58 is involved in adult plant resistance.
2	Seedling and adult plant resistance to leaf rust in some Bulgarian common wheat lines	"The response of 250 common winter wheat breeding lines was investigated for resistance to the causative agent of Puccinia triticina under conditions of an infected field on the territory of Dobrudzha Agricultural Institute - General Toshevo, Bulgaria, during three successive seasons. Twenty lines with different degrees of resistance under field conditions were selected. Multi-pathotype testing was used to study the response of these lines at seedling stage under greenhouse conditions to individual pathotypes of P. triticina. Based on the response of the lines at seedling and adult stages, we found out that 20% of them carried race-specific resistance. One of the lines (99/08-52) reacted with full resistance to the pathotypes used under greenhouse conditions. The reaction demonstrated by this line coincided with the response of isogenic lines carrying the genes Lr9, Lr19, Lr22a, Lr22b and Lr25. The other three lines (19/06- 108, 82/08-43 and 82/08-35) showed a resistant reaction to 6 or 5 of the pathotypes used in the study. Their response partially coincided with the reaction of 5 isogenic lines, and the presence of some of these genes in the above lines is quite possible. Lines carrying this type of resistance are to be subjected to further genetic and breeding investigations to prove the presence of a race-specific gene. Twenty-five percent of the lines combined partial race-specific resistance at seedling stage with the resistance of race non-specific nature at adult stage. Forty percent of all studied lines carried race non-specific resistance, and 15% of the lines possessed resistance of the ""slow rusting"" type. As a result of the study we carried out, the lines that demonstrated stable resistance to leaf rust can provide sufficient protection of the host and can be included in the breeding programs for developing varieties resistant to P. triticina."
3	5'-UTR allelic variants and expression of the lycopene-T-cyclase LCYE gene in maize (Zea mays L.) inbred lines of Russian selection	In breeding, biofortification is aimed at enriching the edible parts of the plant with micronutrients. Within the framework of this strategy, molecular screening of collections of various crops makes it possible to determine allelic variants of genes, new alleles, and the linkage of allelic variants with morphophysiological traits. The maize (Zea mays L.) is an important cereal and silage crop, as well as a source of the main precursor of vitamin A - beta-carotene, a derivative of the beta,beta-branch of the carotenoid biosynthesis pathway. The parallel beta,T-branch is triggered by lycopene-T-cyclase LCYE, a low expression of which leads to an increase in provitamin A content and is associated with the variability of the 5'-UTR gene regulatory sequence. In this study, we screened a collection of 165 maize inbred lines of Russian selection for 5'- UTR LCYE allelic variants, as well as searched for the dependence of LCYE expression levels on the 5'-UTR allelic variant in the leaves of 14 collection lines. 165 lines analyzed were divided into three groups carrying alleles A2 (64 lines), A5 (31) and A6 (70), respectively. Compared to A2, allele A5 contained two deletions (at positions -267- 260 and -296-290 from the ATG codon) and a G251T substitution, while allele A6 contained one deletion (-290-296) and two SNPs (G251T, G265T). Analysis of LCYE expression in the leaf tissue of seedlings from accessions of 14 lines differing in allelic variants showed no associations of the 5'-UTR LCYE allele type with the level of gene expression. Four lines carrying alleles A2 (6178-1, 6709-2, 2289-3) and A5 (5677) had a significantly higher level of LCYE gene expression (~0.018-0.037) than the other 10 analyzed lines (~0.0001-0.004), among which all three allelic variants were present.
4	Comparative analysis of growth and yield parameters of grape var. 'Muscat Hamburg' grafted on 'Dog Ridge' rootstock and self-rooted cuttings	India ranks seventh in grape production at the global level. Tamil Nadu is one of the leading states in grape cultivation in India. The utilization of rootstock has become a priority aspect in grapes cultivation worldwide, especially in the current climatic conditions. The utilization of grape root stocks has not been completely explored yet in Tamil Nadu. In this regard, we compared the growth and yield parameters of grape (Vitis vinifera) var. ''Muscat Hamburg'' grafted on 'Dog Ridge' (Vitis champini) and self-rooted cuttings(of ''Muscat Hamburg'') under Cumbum valley condition, Theni district, Tamil Nadu, India. Randomly, fifty vines were chosen, each in grafted and self-rooted cutting category. 'Muscat Hamburg' is a wide variety in Cumbum valley of Theni district. The growth and yield characters were recorded. The petiole nutrient content for major elements during the flowering phase was analyzed. The growth characters viz., trunk diameter (42.46 mm), cane diameter (5.70 mm), number of fruitful shoots per cane (1.37), shoot length after pruning (42.52 cm), and leaf area (108.16 cm<sup>2</sup>) were recorded maximum in 'Muscat Hamburg' grafted on 'Dog Ridge' rootstock. The grafted 'Muscat Hamburg'on 'Dog Ridge' showed the highest berry weight (3.67 g), and the number of clusters per shoot (1.46). The yield characters, viz., the fruitfulness characters, such as the number of fruitful shoots per cane (1.37) was recorded better in 'Muscat Hamburg' grafted on 'Dog Ridge' rootstock. The total number of berries per bunch (87.00), and yield per vine (21.87 kg/vine) were recorded as the highest in grafted vines. Obviously, when berry weight was the highest in grafted type, it reflected in bunch weight (276.74 g) with a maximum amount than self-rooted. The petiole nutrient contents were also found to be higher in grafted ones than in self-rooted cuttings. Overall, the use of 'Dog Ridge' as rootstock for grape variety 'Muscat Hamburg' was found promising to set enhanced vegetative growth, berry characters, and yield of the bunch than self-rooted cutting.
5	Feasibility of using a silicon preparation to promote growth of forest seedlings: application to pine (Pinus sylvestris) and oak (Quercus robur)	The present study was inspired by scientific reports describing the positive effects of silicon preparations on fruit and vegetables in horticulture. The use of silicon preparations in forest protection represents a new research application, especially in the cases of oak seedlings that are damaged by oak powdery mildew. Additionally, these preparations increase the photosynthetic efficiency of the seedlings, and thus promote increased biomass and better nutritional value of the root systems. The new idea of using silicon formulations in forestry, based on the initial test results, is particularly important for seedlings in the post-planting period in forest plantations. In particular, these preparations increase yield and plant growth, and improve plant health. So far, no comparable studies have been conducted on forest tree species. To this end, one year-old pine (Pinus sylvestris L.) and two year-old English oak (Quercus robur L.) seedlings were sprayed with silicon preparations of different concentrations, and changes in growth parameters and photosynthetic efficiency were observed. The main objective of the study was to determine the effect of the silicon preparation on the seedlings during their first life span, i.e., the first year after planting. In this study, 50 pine and 50 oak seedlings were sprayed three times with the silicon preparation, in five variants (control; concentrations of 1%, 2%, 3% and 5%), as well as the chlorophyll fluorescence, height, thickness and biomass of the roots, were measured. It was found that the treatment with a concentration of 2% was better and statistically, significantly different from the other variants, e.g., in terms of increasing photosynthetic efficiency.
6	Short-term growth response of young pine (Pinus silvestris) seedlings to the different types of soil media mixture with phosphogypsum formulations under Poland forest environmental conditions	"The production of phosphoric acid produces ""waste heaps"" that have not yet been tapped, but which have the character of weak fertilizers and can perhaps be reintroduced into the elemental cycle in the forests. Two variants of mixing with organic ash and with sewage sludge were carried out. One-year-old pine seedlings (Pinus sylvestris L.) from the Trzebiez forest district (northern Poland) were planted in pots with soil that also came from the same field. Preparations containing phosphogypsum were applied topically to the soil in four doses (1, 2, 3 and 5 t/ha). The trial, which lasted one growing season, was conducted in four replicates. At the end of the trial, the height of the above-ground parts and root length, needle and root area, root neck diameter and photosynthetic performance were measured. The phosphogypsum-based preparations used showed no harmful (toxic) effects on the potted pine seedlings during the six-month trial period. The loosely prepared preparation made from a mixture of phosphogypsum and organic ash began to have a positive effect on the development of the seedlings' root system, and it was also easier to mix with the soil surface than phosphogypsum with sewage sludge, which also contained a sticky form. The photosynthetic performance of one-year-old pine seedlings decreased after one growing season following the application of phosphogypsum preparations and most of the growth parameters tested did not differ from the control, so observations over a longer period (at least two to three growing seasons) are required. However, dosages of 1 and 2 t/ha seem to be the most promising, and these lower dosages are more economical to manage in nurseries or plantations, especially on poor sites. Formulations should be tested for heavy metals and their effects on seedling development. Testing should also be continued to monitor changes in the microbiome."
7	Effect of the varying inclusion levels of the egg yolk powder on growth, stress tolerance, and pigmentation of Guppy (Poecilia reticulata)	The newly hatched nauplii of Artemia is extensively used as a live feed for ornamental fish hatchlings; however, its high cost and unbalanced nutrients necessitate exploring sustainable alternatives. An experiment was conducted to evaluate the effects of four formulated diets of 0%,5%, 10%, and 20% inclusion levels of egg yolk powder and other ingredients (fish meal, soybean meal, rice polish, corn) during the nursery stage of Guppy (Poecilia reticulata) compared to Artemia salina as a control. Results showed that survival did not differ (P > 0.05) among the diets. Weight gain, daily weight gain, and specific growth rate of the fry fed with 10% egg yolk-included diet containing 49.6% fish meal and 18.8% soybean meal were significantly higher (P < 0.05) than those of the other test diets and the A. salina. All the diets showed higher stress indexes (P < 0.05) than the control; the test diets did not affect pigmentation.
8	Growth-survival trade-offs and the restoration of non-forested open ecosystems	The growth-survival trade-off has been extensively documented for phanerophyte species, whereas there is little evidence for non-phanerophyte species. However, information on the growth-survival trade-offs in non-phanerophyte species could be of great use in non-forested open ecosystem restoration by providing insights for plant production and transplantation, thus impacting the planning of cost-effective restoration actions. In this study, we explored the relationship between growth and survival of individual plants of non-phanerophyte species used in a coastal dune restoration project, and we investigated whether plant functional traits explained patterns of trade-off between growth and survival. We monitored 355 individual plants of 13 perennial non-phanerophyte species belonging to foredune and transition dune communities every 30 days after planting and calculated relative growth and survival rates. In addition, we regressed the relationship between growth and survival on values of leaf and floral traits. We found that, besides being a widely recognised axis of life history variation in phanerophyte species, the growth-survival trade-off can also be observed in perennial non-phanerophyte species. Species of different coastal dune communities (i.e., foredune vs. transition dune communities) differed with respect to the growth-survival trade-off, with plant species of foredune communities exhibiting higher growth but lower survival rates than plant species of transition dune communities. Leaf dry matter content and mean number of floral displays explained species position on the growth-survival trade-off axis; species with relatively high growth and low survival rates exhibited an acquisitive strategy, with low values of leaf dry matter content, but also a low sexual reproductive effort, as revealed by low number of floral displays. In contrast, plant species with relatively low growth and high survival rates exhibited a conservative strategy but also high sexual reproductive effort, suggesting that trade-offs occur in resource allocation among vegetative and reproductive plant structures. The trade-off we found between growth and survival in perennial non-phanerophyte species provides useful insights for planning cost-effective ecosystem restoration actions of non-forested open ecosystems, especially when the actions are nature-based and involve planting individual plants. The results of this study suggest that individual plant production for coastal dune restoration should disproportionately target plant species of foredune communities because they have low survival rates associated with low sexual reproductive effort. Planning plant production based on ecological knowledge of plant species' growth and survival after planting in the field could help achieve restoration goals while meeting project cost-effectiveness requirements.
9	Rapid faunal colonization and recovery of biodiversity and functional diversity following eelgrass restoration	Seagrass meadows and their associated biodiverse assemblages have declined globally due to environmental and anthropogenic stressors. Restoration of these critical habitats has the potential to reverse coastal biodiversity loss. Here, we tested the role of patch size (which can affect recruitment, food availability, and/or predation) in driving faunal colonization in an eelgrass (Zostera marina) restoration trial in Sweden. Eelgrass shoots were transplanted in plots with different configurations (continuous vs. checkerboard patterns with three patch sizes), and we followed invertebrate colonization (biodiversity and functional diversity) during the first two growing seasons. We found rapid faunal colonization following the transplantation of eelgrass shoots in all plots with invertebrate densities reaching 50-80% of the reference meadow after only one growing season (3 months). After two growing seasons (15 months), the faunal density, biodiversity, and functional diversity were similar to the reference meadow, despite eelgrass density and biomass still being lower than the reference meadow. Biodiversity, functional diversity, and community structure were similar among the different planted plots, that is, there was no indication that patch size influenced faunal colonization. We therefore consider that smaller patches embedded within larger restoration plots can be as effective for promoting biodiversity as continuous patches, with reduced costs and fewer shoots required. We also noted high natural variability between years both in the reference meadow and planted plots, showing the dynamic nature of seagrass ecosystems, and the importance of a well-planned monitoring scheme that considers the reference area and restored area within the same temporal scale.
10	Regeneration of Pinus sibirica Du Tour as a result of trophic relationships with the thin-billed nutcracker (Nucifraga caryocatactes macrorhynchos Brehm C L)	Identifying the patterns of dynamics of natural populations of woody plants at the stage of their renewal is one of the main problems of forest ecology. The reforestation process is determined by both the dynamics of seed production and the specificity of seed dispersal of forest tree species. The five-needled pine renewal the Cembrae subsection with wingless seeds depends on birds of the genus Nucifraga sp., which store and spread their seeds. The aim of this study is to determine the relationship between seed production and regeneration of Pinus sibirica Du Tour using the thin-billed nutcracker (Nucifraga caryocatactes macrorhynchos Brehm C. L.) as a mediator. Long-term studies of these relationships have been carried out in the Siberian pine forests of the North Ural Mountains. As a result, a paradoxical conclusion is made that the number of Nucifraga birds during the period of storing and spreading of seeds in the previous year is a key factor in the abundance of Pinus sibirica seedlings. In turn, the number of seeds, both from the previous year and the current year, affects the number of Nucifraga birds.
