ID	Title	Abstract
1	Comparative analysis of growth and yield parameters of grape var. 'Muscat Hamburg' grafted on 'Dog Ridge' rootstock and self-rooted cuttings	India ranks seventh in grape production at the global level. Tamil Nadu is one of the leading states in grape cultivation in India. The utilization of rootstock has become a priority aspect in grapes cultivation worldwide, especially in the current climatic conditions. The utilization of grape root stocks has not been completely explored yet in Tamil Nadu. In this regard, we compared the growth and yield parameters of grape (Vitis vinifera) var. ''Muscat Hamburg'' grafted on 'Dog Ridge' (Vitis champini) and self-rooted cuttings(of ''Muscat Hamburg'') under Cumbum valley condition, Theni district, Tamil Nadu, India. Randomly, fifty vines were chosen, each in grafted and self-rooted cutting category. 'Muscat Hamburg' is a wide variety in Cumbum valley of Theni district. The growth and yield characters were recorded. The petiole nutrient content for major elements during the flowering phase was analyzed. The growth characters viz., trunk diameter (42.46 mm), cane diameter (5.70 mm), number of fruitful shoots per cane (1.37), shoot length after pruning (42.52 cm), and leaf area (108.16 cm<sup>2</sup>) were recorded maximum in 'Muscat Hamburg' grafted on 'Dog Ridge' rootstock. The grafted 'Muscat Hamburg'on 'Dog Ridge' showed the highest berry weight (3.67 g), and the number of clusters per shoot (1.46). The yield characters, viz., the fruitfulness characters, such as the number of fruitful shoots per cane (1.37) was recorded better in 'Muscat Hamburg' grafted on 'Dog Ridge' rootstock. The total number of berries per bunch (87.00), and yield per vine (21.87 kg/vine) were recorded as the highest in grafted vines. Obviously, when berry weight was the highest in grafted type, it reflected in bunch weight (276.74 g) with a maximum amount than self-rooted. The petiole nutrient contents were also found to be higher in grafted ones than in self-rooted cuttings. Overall, the use of 'Dog Ridge' as rootstock for grape variety 'Muscat Hamburg' was found promising to set enhanced vegetative growth, berry characters, and yield of the bunch than self-rooted cutting.
2	Feasibility of using a silicon preparation to promote growth of forest seedlings: application to pine (Pinus sylvestris) and oak (Quercus robur)	The present study was inspired by scientific reports describing the positive effects of silicon preparations on fruit and vegetables in horticulture. The use of silicon preparations in forest protection represents a new research application, especially in the cases of oak seedlings that are damaged by oak powdery mildew. Additionally, these preparations increase the photosynthetic efficiency of the seedlings, and thus promote increased biomass and better nutritional value of the root systems. The new idea of using silicon formulations in forestry, based on the initial test results, is particularly important for seedlings in the post-planting period in forest plantations. In particular, these preparations increase yield and plant growth, and improve plant health. So far, no comparable studies have been conducted on forest tree species. To this end, one year-old pine (Pinus sylvestris L.) and two year-old English oak (Quercus robur L.) seedlings were sprayed with silicon preparations of different concentrations, and changes in growth parameters and photosynthetic efficiency were observed. The main objective of the study was to determine the effect of the silicon preparation on the seedlings during their first life span, i.e., the first year after planting. In this study, 50 pine and 50 oak seedlings were sprayed three times with the silicon preparation, in five variants (control; concentrations of 1%, 2%, 3% and 5%), as well as the chlorophyll fluorescence, height, thickness and biomass of the roots, were measured. It was found that the treatment with a concentration of 2% was better and statistically, significantly different from the other variants, e.g., in terms of increasing photosynthetic efficiency.
3	Short-term growth response of young pine (Pinus silvestris) seedlings to the different types of soil media mixture with phosphogypsum formulations under Poland forest environmental conditions	"The production of phosphoric acid produces ""waste heaps"" that have not yet been tapped, but which have the character of weak fertilizers and can perhaps be reintroduced into the elemental cycle in the forests. Two variants of mixing with organic ash and with sewage sludge were carried out. One-year-old pine seedlings (Pinus sylvestris L.) from the Trzebiez forest district (northern Poland) were planted in pots with soil that also came from the same field. Preparations containing phosphogypsum were applied topically to the soil in four doses (1, 2, 3 and 5 t/ha). The trial, which lasted one growing season, was conducted in four replicates. At the end of the trial, the height of the above-ground parts and root length, needle and root area, root neck diameter and photosynthetic performance were measured. The phosphogypsum-based preparations used showed no harmful (toxic) effects on the potted pine seedlings during the six-month trial period. The loosely prepared preparation made from a mixture of phosphogypsum and organic ash began to have a positive effect on the development of the seedlings' root system, and it was also easier to mix with the soil surface than phosphogypsum with sewage sludge, which also contained a sticky form. The photosynthetic performance of one-year-old pine seedlings decreased after one growing season following the application of phosphogypsum preparations and most of the growth parameters tested did not differ from the control, so observations over a longer period (at least two to three growing seasons) are required. However, dosages of 1 and 2 t/ha seem to be the most promising, and these lower dosages are more economical to manage in nurseries or plantations, especially on poor sites. Formulations should be tested for heavy metals and their effects on seedling development. Testing should also be continued to monitor changes in the microbiome."
4	Effect of the varying inclusion levels of the egg yolk powder on growth, stress tolerance, and pigmentation of Guppy (Poecilia reticulata)	The newly hatched nauplii of Artemia is extensively used as a live feed for ornamental fish hatchlings; however, its high cost and unbalanced nutrients necessitate exploring sustainable alternatives. An experiment was conducted to evaluate the effects of four formulated diets of 0%,5%, 10%, and 20% inclusion levels of egg yolk powder and other ingredients (fish meal, soybean meal, rice polish, corn) during the nursery stage of Guppy (Poecilia reticulata) compared to Artemia salina as a control. Results showed that survival did not differ (P > 0.05) among the diets. Weight gain, daily weight gain, and specific growth rate of the fry fed with 10% egg yolk-included diet containing 49.6% fish meal and 18.8% soybean meal were significantly higher (P < 0.05) than those of the other test diets and the A. salina. All the diets showed higher stress indexes (P < 0.05) than the control; the test diets did not affect pigmentation.
5	Rapid faunal colonization and recovery of biodiversity and functional diversity following eelgrass restoration	Seagrass meadows and their associated biodiverse assemblages have declined globally due to environmental and anthropogenic stressors. Restoration of these critical habitats has the potential to reverse coastal biodiversity loss. Here, we tested the role of patch size (which can affect recruitment, food availability, and/or predation) in driving faunal colonization in an eelgrass (Zostera marina) restoration trial in Sweden. Eelgrass shoots were transplanted in plots with different configurations (continuous vs. checkerboard patterns with three patch sizes), and we followed invertebrate colonization (biodiversity and functional diversity) during the first two growing seasons. We found rapid faunal colonization following the transplantation of eelgrass shoots in all plots with invertebrate densities reaching 50-80% of the reference meadow after only one growing season (3 months). After two growing seasons (15 months), the faunal density, biodiversity, and functional diversity were similar to the reference meadow, despite eelgrass density and biomass still being lower than the reference meadow. Biodiversity, functional diversity, and community structure were similar among the different planted plots, that is, there was no indication that patch size influenced faunal colonization. We therefore consider that smaller patches embedded within larger restoration plots can be as effective for promoting biodiversity as continuous patches, with reduced costs and fewer shoots required. We also noted high natural variability between years both in the reference meadow and planted plots, showing the dynamic nature of seagrass ecosystems, and the importance of a well-planned monitoring scheme that considers the reference area and restored area within the same temporal scale.
6	Regeneration of Pinus sibirica Du Tour as a result of trophic relationships with the thin-billed nutcracker (Nucifraga caryocatactes macrorhynchos Brehm C L)	Identifying the patterns of dynamics of natural populations of woody plants at the stage of their renewal is one of the main problems of forest ecology. The reforestation process is determined by both the dynamics of seed production and the specificity of seed dispersal of forest tree species. The five-needled pine renewal the Cembrae subsection with wingless seeds depends on birds of the genus Nucifraga sp., which store and spread their seeds. The aim of this study is to determine the relationship between seed production and regeneration of Pinus sibirica Du Tour using the thin-billed nutcracker (Nucifraga caryocatactes macrorhynchos Brehm C. L.) as a mediator. Long-term studies of these relationships have been carried out in the Siberian pine forests of the North Ural Mountains. As a result, a paradoxical conclusion is made that the number of Nucifraga birds during the period of storing and spreading of seeds in the previous year is a key factor in the abundance of Pinus sibirica seedlings. In turn, the number of seeds, both from the previous year and the current year, affects the number of Nucifraga birds.
7	Seasonal variation in cell wall composition and carbohydrate metabolism in the seagrass Posidonia oceanica growing at different depths	Posidonia oceanica is a common seagrass in the Mediterranean Sea that is able to sequester large amounts of carbon. The carbon assimilated during photosynthesis can be partitioned into non-structural sugars and cell-wall polymers. In this study, we investigated the distribution of carbon in starch, soluble carbohydrates and cell-wall polymers in leaves and rhizomes of P. oceanica. Analyses were performed during summer and winter in meadows located south of the Frioul archipelago near Marseille, France. The leaves and rhizomes were isolated from plants collected in shallow (2 m) and deep water (26 m). Our results showed that P. oceanica stores more carbon as starch, sucrose and cellulose in summer and that this is more pronounced in rhizomes from deep-water plants. In winter, the reduction in photoassimilates was correlated with a lower cellulose content, compensated with a greater lignin content, except in rhizomes from deep-water plants. The syringyl-to-guaiacyl (S/G) ratio in the lignin was higher in leaves than in rhizomes and decreased in rhizomes in winter, indicating a change in the distribution or structure of the lignin. These combined data show that deep-water plants store more carbon during summer, while in winter the shallow- and deep-water plants displayed a different cell wall composition reflecting their environment.
8	Effect of composition and properties of soils and soil-sand substrates contaminated with copper on morphometric parameters of barley plants	In a multifactor vegetation experiment, the effect of composition and properties of soils and soil-sand substrates contaminated with various doses of copper acetate on the morphometric parameters of spring barley seedlings was studied. It has been shown that germination and seed germination energy, as well as the length of roots, aboveground parts, and dry biomass of plants depend in a complex way on the concentration of Cu in soils and substrates, as well as on their buffering capacity to heavy metals. Two mechanisms of Cu influence on plant development have been revealed, i.e., metabolic at C<sub>Cu</sub> 500 mg/kg of soil and diffusional at C<sub>Cu</sub> 500 mg/kg. Using the methods of regression analysis of experimental data, a multiple regression equation has been obtained that combines the morphometric index of plants, the concentration of Cu in substrates, and the buffering capacity of soils to Cu. On its basis, in the soil buffering capacity-Cu concentration coordinates, a curve of values of the maximum permissible concentrations of Cu in soils was built on a plane in the range from 17 to 2047 mg/kg. It permits us to separate the zone of permissible development of barley plants (a decrease of the morphometric index by 15%) from the zone of exceeding the accepted values of the maximum permissible concentration of Cu. Thus, the maximum permissible concentration is considered to be a function of Cu concentration, the soil buffering capacity to heavy metals, and plant species rather than a fixed value.
9	Effects of hazelnut husk waste on quality parameters of German primrose (Primula obconica Hance)	The study was conducted to determine the feasibility of using hazelnut shell waste as a growth medium for German primroses (Primula obconica Hance) under greenhouse conditions. Five different media combinations were prepared using sphagnum moss peat (SMP) and hazelnut husk waste (HHW). Some quality and growth parameters of P. obconica appeared to be significantly different depending on the growth medium. Results showed that HHW had a statistically significant impact on two parameters, namely aesthetic appearance score and mean flower weight, but had no impact on the other qualitative traits. The highest (8.94) and lowest (4.70) esthetic appearance scores were observed at 100% HHW and control treatments, respectively. In addition, the maximum (0.15 g) and minimum (0.097 g) mean flower weights were observed in HHW2 treatment and control plants, respectively.
10	Effect of soil mixtures based on a gneiss-derived soil and two forest floor types on growth and nutritional status of Castanea sativa Mill. seedlings	Aiming at the production of robust chestnut plants suitable for the establishment of plantations or for their use in afforestation of forest ecosystems, we studied the effect of soil mixtures on growth, physiological characteristics, and nutritional status of chestnut seedlings. In a complete randomized-block design pot experiment, the soil used was derived from gneiss weathering (GN) and the treatments included GN and GN with fertilization (GN-FER) as well as mixtures of GN with forest floor (FF) from chestnuts (GN-CFF) and from evergreen broad-leaved trees (GN-EFF). Both types of forest floor and fertilization had similar positive effect on seedlings growth and photosynthetic parameters. The most significant effects on soil nutrients were found in GN-CFF and GN-EFF treatments, except for extractable phosphorus (P) and exchangeable potassium (K), whose highest concentrations were observed in GN-FER. Leaf analysis showed that the concentrations of almost all nutrients in all treatments were within the adequacy limits, with the exception of nitrogen (N) in GN, copper (Cu) in GN-EFF, and K in all treatments. Both types of forest floor satisfied the nutritional needs of chestnut seedlings to a large extent and their incorporation in this type of soil combined with limited addition mainly of K and to a lesser degree of P could enhance adequacy of these nutrients in soil and plants. Thus, forest floor application may be an appropriate alternative to integrated nutrient management for robust chestnut seedlings production with significant forestry and environmental impacts.
