Noun Phrases,Verbs,Text,Label
a silicon preparation,use,one year-old,DATE
growth,promote,two year-old,DATE
forest seedlings,pine,English,LANGUAGE
The present study,oak,Quercus robur L.,PERSON
scientific reports,inspire,first,ORDINAL
the positive effects,describe,the first year,DATE
silicon preparations,represent,50,CARDINAL
fruit,damage,50,CARDINAL
vegetables,increase,three,CARDINAL
horticulture,promote,five,CARDINAL
The use,increase,1%,PERCENT
silicon preparations,use,2%,PERCENT
forest protection,base,3% and 5%,PERCENT
a new research application,increase,2%,PERCENT
the cases,improve,,
oak seedlings,conduct,,
that,spray,,
oak powdery mildew,observe,,
these preparations,determine,,
the photosynthetic efficiency,plant,,
the seedlings,spray,,
increased biomass,measure,,
better nutritional value,find,,
the root systems,increase,,
The new idea,,,
silicon formulations,,,
forestry,,,
the initial test results,,,
seedlings,,,
the post-planting period,,,
forest plantations,,,
these preparations,,,
yield and plant growth,,,
plant health,,,
no comparable studies,,,
forest tree species,,,
this end,,,
Pinus sylvestris L.,,,
silicon preparations,,,
different concentrations,,,
changes,,,
growth parameters,,,
photosynthetic efficiency,,,
The main objective,,,
the study,,,
the effect,,,
the silicon preparation,,,
the seedlings,,,
their first life span,,,
"i.e., the first year",,,
this study,,,
50 pine,,,
50 oak seedlings,,,
the silicon preparation,,,
five variants,,,
control,,,
concentrations,,,
1%,,,
2%,,,
3%,,,
5%,,,
the chlorophyll fluorescence,,,
height,,,
thickness,,,
biomass,,,
the roots,,,
It,,,
the treatment,,,
a concentration,,,
2%,,,
the other variants,,,
terms,,,
photosynthetic efficiency,,,
